title,title count,genres,primaryGenre,contentRating,size,numberOfSupported,released,version,price,score,reviews,store
Manual for TI-84 Calculator,27,"[""Education"",""Books""]",Education,4+,198158336,4,28/08/2018,1,4.99,1,10,appStore
Mars Globe,10,"[""Education"",""Reference""]",Education,4+,57425920,6,19/08/2009,2.3,0,4,804,appStore
Masaisai Trust School,21,,EDUCATION,4+,6700000,7,11/10/2018,1.2.5,0,4,1,google store
MasterClass: Learn New Skills,29,"[""Education"",""Entertainment""]",Education,9+,136231936,3,02/04/2018,5.1.1,0,5,6735,appStore
Match - Memory games for kids,29,"[""Education"",""Trivia"",""Word"",""Games""]",Education,4+,644773888,5,23/02/2012,3.1,0,4,2327,appStore
Match games for kids toddlers,29,"[""Education"",""Games""]",Education,4+,71425024,5,22/12/2016,2.2.2,0,4.5,1891,appStore
Math and Science Tutor,22,"[""Education"",""Reference""]",Education,4+,55447552,4,31/08/2017,1.0.7,0,5,314,appStore
Math Bingo,10,"[""Education"",""Games""]",Education,4+,16749568,5,20/05/2010,1.8,2.99,4.5,4477,appStore
Math Brain Booster Games,24,"[""Education"",""Productivity""]",Education,4+,18751488,5,13/11/2012,1.9.6,0,4.5,4261,appStore
Math Calculator - Solve Math Problems by Camera,47,,EDUCATION,4+,8200000,7,19/06/2018,1.9.5,0,4.5,38843,google store
Math Cards ! !,14,"[""Education"",""Games""]",Education,4+,15986688,7,24/09/2011,1.7.4,0,4,784,appStore
Math Champ Challenge - School Edition,37,"[""Education"",""Games""]",Education,4+,146938880,4,20/07/2013,2,2.99,3,5,appStore
Math Champions lite for kids,28,"[""Education"",""Games"",""Family""]",Education,4+,70987776,4,09/10/2012,5.5,0,4.5,4309,appStore
Math Fact Master,16,"[""Education"",""Games""]",Education,4+,8068096,4,17/02/2011,5.1,0.99,4.5,1688,appStore
Math Games For 3rd Grade 4th 5th Graders Kids App,49,"[""Education"",""Games""]",Education,4+,60854272,6,14/03/2017,1,0,3.5,5,appStore
Math Learner: Easy Mathematics,30,"[""Education""]",Education,4+,65675264,4,06/09/2018,1.9.4,0,3.5,3565,appStore
Math Multiplication and Division Flash Cards For 3rd Grade,58,"[""Education"",""Games"",""Card""]",Education,4+,14674253,8,22/05/2012,1,2.99,1.5,9,appStore
Math Worksheets 4th 5th 6th Grade,33,"[""Education"",""Games"",""Puzzle""]",Education,4+,18188288,6,11/09/2017,1,0,1.5,5,appStore
Math.,5,"[""Education"",""Books""]",Education,4+,12577792,4,10/12/2011,6.2,0,4,1635,appStore
MathPapa - Algebra Calculator,29,"[""Education"",""Utilities""]",Education,4+,31057920,5,31/08/2015,1.3.3,0,4.5,2412,appStore
MathsApp Graphing Calculator,28,,EDUCATION,4+,1500000,10,20/02/2013,1.3.1,5.99,4.5,49,google store
Mathspace,9,"[""Education""]",Education,4+,18999296,3,17/12/2012,2.7.2,0,3,296,appStore
Mathway,7,"[""Education"",""Utilities""]",Education,4+,103570432,4,04/09/2012,3.2.7,0,4.5,21042,appStore
Maxima on Android,17,,EDUCATION,4+,53000000,6,12/08/2012,3.2.1,0,4.5,544,google store
May-Port CG School District 14,30,,EDUCATION,4+,20000000,7,27/07/2018,1.2.40,0,1,2,google store
"MCAT: Practice,Prep,Flashcards",30,"[""Education"",""Reference""]",Education,4+,35956736,4,18/11/2014,1.6.6,0,5,1253,appStore
MCX Basic,9,,EDUCATION,4+,1300000,7,06/04/2016,1.1,0.99,4,6,google store
MD Practice Driving Test,24,"[""Education"",""Family"",""Games""]",Education,4+,9417728,5,23/09/2011,1.3.3,0,4,401,appStore
MEB E-OKUL VBS,14,,EDUCATION,12+,3300000,7,24/03/2014,2.2,0,3.5,51683,google store
Mechanical Engineering Review,29,"[""Education"",""Reference""]",Education,4+,131692544,3,24/03/2010,6.8.4625,0,3,14,appStore
MedBridge,9,"[""Education"",""Medical""]",Education,12+,72455168,4,10/11/2015,1.9.1,0,5,3112,appStore
MEL Chemistry VR Lessons,24,"[""Education"",""Entertainment""]",Education,4+,412907520,6,25/06/2018,1.0.13,0,3.5,10,appStore
Memorado - Brain Games,22,"[""Education"",""Health & Fitness""]",Education,4+,203692032,4,23/07/2014,6.5.7,0,4.5,7703,appStore
Memorize the Holy Quran,23,"[""Education"",""Reference""]",Education,4+,56359936,5,07/01/2011,4.5,0,5,2782,appStore
Memorize the Holy Quran (Full),30,"[""Education"",""Reference""]",Education,4+,640414720,5,05/07/2011,4.5,6.99,5,592,appStore
Metamorphabet,13,"[""Education"",""Games"",""Family"",""Word""]",Education,4+,175035392,5,12/02/2015,1.16,4.99,5,582,appStore
MF Kazanım Video Çözüm,26,,EDUCATION,4+,9500000,7,15/09/2018,1.0.0,0,2,32,google store
MH Learn & Go,13,,EDUCATION,4+,30000000,6,21/11/2017,1.2.1,0,5,1,google store
Miami Dade College - My MDC,27,"[""Education""]",Education,17+,58091520,3,28/11/2017,8.13.0,0,3.5,45,appStore
Middle School Math 6th Grade,28,"[""Education"",""Puzzle"",""Games""]",Education,4+,43171840,5,22/05/2013,2.09,0,4,552,appStore
Middle School Math 7th Grade,28,"[""Education"",""Puzzle"",""Games""]",Education,4+,44642304,5,24/08/2011,2.09,0,4,1544,appStore
Middle School Science 8th Grade,31,"[""Education"",""Games"",""Puzzle""]",Education,4+,40687616,5,10/05/2012,2.09,0,4,430,appStore
Middle School Vocabulary 7th Grade,34,"[""Education"",""Games"",""Puzzle""]",Education,4+,46325760,5,08/12/2011,2.09,0,4,387,appStore
Miga Town: My Hospital,22,"[""Education"",""Pretend Play""]",Education,4+,66966272,6,31/08/2018,1.1,0,3.5,2969,appStore+google store
Miga Town: My Vacation,22,"[""Education""]",Education,4+,100105216,6,16/10/2018,1,0,3,189,appStore
Mimo: Learn to Code,19,"[""Education"",""Reference""]",Education,4+,197885952,4,22/08/2016,3.1,0,4.5,29882,appStore+google store
Mind Games - Brain Training,27,"[""Education"",""Family"",""Puzzle"",""Games""]",Education,4+,28294144,6,16/04/2014,2.2.1,0,4.5,6170,appStore
Minecraft: Education Edition,28,"[""Education""]",Education,9+,250997760,4,06/09/2018,1.7.2,0,3.5,739,appStore
Minna No Nihongo Cd 2 Pro,25,,EDUCATION,4+,65000000,10,04/07/2016,1.1,0.99,5,0,google store
